Ronda,Fecha,Local,Resultado,Visitante,Anio
Round 11,16/11/1980,Betis,1—1,Real Madrid,1980-1981
Round 11,16/11/1980,Sporting de Gijón,2—0,Murcia,1980-1981
Round 11,16/11/1980,Hércules,1—1,Zaragoza,1980-1981
Round 11,16/11/1980,Osasuna,2—0,Athletic Club,1980-1981
Round 11,16/11/1980,Real Sociedad,1—0,Valladolid,1980-1981
Round 11,16/11/1980,Valencia,2—0,Sevilla,1980-1981
Round 12,23/11/1980,AD Almería,3—2,Real Sociedad,1980-1981
Round 12,23/11/1980,Athletic Club,1—3,Las Palmas,1980-1981
Round 12,23/11/1980,Español,1—0,Sporting de Gijón,1980-1981
Round 12,23/11/1980,Murcia,0—2,Valencia,1980-1981
Round 12,23/11/1980,Real Madrid,3—0,Hércules,1980-1981
Round 12,23/11/1980,Salamanca,1—1,Atlético de Madrid,1980-1981
Round 12,23/11/1980,Sevilla,1—0,Osasuna,1980-1981
Round 12,23/11/1980,Valladolid,2—1,Betis,1980-1981
Round 12,23/11/1980,Zaragoza,1—2,Barcelona,1980-1981
Round 13,29/11/1980,Las Palmas,1—2,Sevilla,1980-1981
Round 13,30/11/1980,Atlético de Madrid,0—0,Sporting de Gijón,1980-1981
Round 13,30/11/1980,Barcelona,2—1,Real Madrid,1980-1981
Round 13,30/11/1980,Betis,2—0,AD Almería,1980-1981
Round 13,30/11/1980,Hércules,1—1,Valladolid,1980-1981
Round 13,30/11/1980,Real Sociedad,4—1,Athletic Club,1980-1981
Round 13,30/11/1980,Salamanca,3—1,Zaragoza,1980-1981
Round 13,30/11/1980,Valencia,3—1,Español,1980-1981
Round 13,17/12/1980,Osasuna,3—1,Murcia,1980-1981
Round 14,7/12/1980,AD Almería,0—3,Hércules,1980-1981
Round 14,7/12/1980,Athletic Club,2—0,Betis,1980-1981
Round 14,7/12/1980,Español,0—0,Osasuna,1980-1981
Round 14,7/12/1980,Sporting de Gijón,0—0,Valencia,1980-1981
Round 14,7/12/1980,Murcia,1—2,Las Palmas,1980-1981
Round 14,7/12/1980,Real Madrid,2—0,Salamanca,1980-1981
Round 14,7/12/1980,Sevilla,0—0,Real Sociedad,1980-1981
Round 14,7/12/1980,Valladolid,1—1,Barcelona,1980-1981
Round 14,7/12/1980,Zaragoza,0—1,Atlético de Madrid,1980-1981
Round 15,13/12/1980,Barcelona,6—0,AD Almería,1980-1981
Round 15,13/12/1980,Las Palmas,2—0,Español,1980-1981
Round 15,14/12/1980,Atlético de Madrid,3—1,Valencia,1980-1981
Round 15,14/12/1980,Betis,2—0,Sevilla,1980-1981
Round 15,14/12/1980,Hércules,1—2,Athletic Club,1980-1981
Round 15,14/12/1980,Osasuna,3—0,Sporting de Gijón,1980-1981
Round 15,14/12/1980,Real Sociedad,1—0,Murcia,1980-1981
Round 15,14/12/1980,Salamanca,2—1,Valladolid,1980-1981
Round 15,14/12/1980,Zaragoza,0—0,Real Madrid,1980-1981
Round 16,21/12/1980,AD Almería,3—2,Salamanca,1980-1981
Round 16,21/12/1980,Athletic Club,4—1,Barcelona,1980-1981
Round 16,21/12/1980,Atlético de Madrid,3—1,Real Madrid,1980-1981
Round 16,21/12/1980,Español,0—0,Real Sociedad,1980-1981
Round 16,21/12/1980,Sporting de Gijón,2—1,Las Palmas,1980-1981
Round 16,21/12/1980,Murcia,2—0,Betis,1980-1981
Round 16,21/12/1980,Sevilla,0—0,Hércules,1980-1981
Round 16,21/12/1980,Valencia,4—1,Osasuna,1980-1981
Round 16,21/12/1980,Valladolid,1—1,Zaragoza,1980-1981
Round 17,27/12/1980,Las Palmas,1—4,Valencia,1980-1981
Round 17,28/12/1980,Barcelona,3—1,Sevilla,1980-1981
Round 17,28/12/1980,Betis,1—2,Español,1980-1981
Round 17,28/12/1980,Hércules,1—0,Murcia,1980-1981
Round 17,28/12/1980,Osasuna,0—0,Atlético de Madrid,1980-1981
Round 17,28/12/1980,Real Sociedad,1—2,Sporting de Gijón,1980-1981
Round 17,28/12/1980,Real Madrid,1—1,Valladolid,1980-1981
Round 17,28/12/1980,Salamanca,3—2,Athletic Club,1980-1981
Round 17,28/12/1980,Zaragoza,1—0,AD Almería,1980-1981
Round 18,3/1/1981,Las Palmas,2—0,Osasuna,1980-1981
Round 18,4/1/1981,Barcelona,1—0,Murcia,1980-1981
Round 18,4/1/1981,Betis,2—0,Sporting de Gijón,1980-1981
Round 18,4/1/1981,Hércules,2—0,Español,1980-1981
Round 18,4/1/1981,Real Sociedad,2—1,Valencia,1980-1981
Round 18,4/1/1981,Real Madrid,4—0,AD Almería,1980-1981
Round 18,4/1/1981,Salamanca,0—0,Sevilla,1980-1981
Round 18,4/1/1981,Valladolid,0—2,Atlético de Madrid,1980-1981
Round 18,4/1/1981,Zaragoza,2—3,Athletic Club,1980-1981
Round 19,11/1/1981,AD Almería,1—1,Valladolid,1980-1981
Round 19,11/1/1981,Athletic Club,1—1,Real Madrid,1980-1981
Round 19,11/1/1981,Atlético de Madrid,2—2,Las Palmas,1980-1981
Round 19,11/1/1981,Betis,1—1,Valencia,1980-1981
Round 19,11/1/1981,Español,1—0,Barcelona,1980-1981
Round 19,11/1/1981,Sporting de Gijón,3—1,Hércules,1980-1981
Round 19,11/1/1981,Murcia,1—1,Salamanca,1980-1981
Round 19,11/1/1981,Osasuna,0—3,Real Sociedad,1980-1981
Round 19,11/1/1981,Sevilla,0—0,Zaragoza,1980-1981
Round 20,17/01/1981,Real Sociedad,2—0,Las Palmas,1980-1981
Round 20,18/01/1981,AD Almería,2—1,Atlético de Madrid,1980-1981
Round 20,18/01/1981,Barcelona,3—1,Sporting de Gijón,1980-1981
Round 20,18/01/1981,Betis,1—1,Osasuna,1980-1981
Round 20,18/01/1981,Hércules,1—1,Valencia,1980-1981
Round 20,18/01/1981,Real Madrid,3—2,Sevilla,1980-1981
Round 20,18/01/1981,Salamanca,3—2,Español,1980-1981
Round 20,18/01/1981,Valladolid,0—0,Athletic Club,1980-1981
Round 20,18/01/1981,Zaragoza,1—6,Murcia,1980-1981
Round 21,24/01/1981,Las Palmas,2—4,Betis,1980-1981
Round 21,25/01/1981,Athletic Club,5—1,AD Almería,1980-1981
Round 21,25/01/1981,Atlético de Madrid,2—0,Real Sociedad,1980-1981
Round 21,25/01/1981,Español,1—1,Zaragoza,1980-1981
Round 21,25/01/1981,Sporting de Gijón,4—0,Salamanca,1980-1981
Round 21,25/01/1981,Murcia,1—1,Real Madrid,1980-1981
Round 21,25/01/1981,Osasuna,1—2,Hércules,1980-1981
Round 21,25/01/1981,Sevilla,1—0,Valladolid,1980-1981
Round 21,25/01/1981,Valencia,3—3,Barcelona,1980-1981
Round 22,1/2/1981,AD Almería,0—0,Sevilla,1980-1981
Round 22,1/2/1981,Athletic Club,3—1,Atlético de Madrid,1980-1981
Round 22,1/2/1981,Barcelona,6—0,Osasuna,1980-1981
Round 22,1/2/1981,Betis,1—0,Real Sociedad,1980-1981
Round 22,1/2/1981,Hércules,2—3,Las Palmas,1980-1981
Round 22,1/2/1981,Real Madrid,1—2,Español,1980-1981
Round 22,1/2/1981,Salamanca,0—1,Valencia,1980-1981
Round 22,1/2/1981,Valladolid,1—0,Murcia,1980-1981
Round 22,1/2/1981,Zaragoza,0—0,Sporting de Gijón,1980-1981
Round 23,7/2/1981,Las Palmas,1—4,Barcelona,1980-1981
Round 23,8/2/1981,Atlético de Madrid,0—4,Betis,1980-1981
Round 23,8/2/1981,Español,0—0,Valladolid,1980-1981
Round 23,8/2/1981,Sporting de Gijón,4—0,Real Madrid,1980-1981
Round 23,8/2/1981,Murcia,2—1,AD Almería,1980-1981
Round 23,8/2/1981,Osasuna,1—1,Salamanca,1980-1981
Round 23,8/2/1981,Real Sociedad,1—1,Hércules,1980-1981
Round 23,8/2/1981,Sevilla,2—0,Athletic Club,1980-1981
Round 23,8/2/1981,Valencia,3—0,Zaragoza,1980-1981
Round 24,15/02/1981,AD Almería,2—0,Español,1980-1981
Round 24,15/02/1981,Athletic Club,3—0,Murcia,1980-1981
Round 24,15/02/1981,Barcelona,2—0,Real Sociedad,1980-1981
Round 24,15/02/1981,Hércules,0—1,Betis,1980-1981
Round 24,15/02/1981,Real Madrid,2—1,Valencia,1980-1981
Round 24,15/02/1981,Salamanca,0—2,Las Palmas,1980-1981
Round 24,15/02/1981,Sevilla,1—1,Atlético de Madrid,1980-1981
Round 24,15/02/1981,Valladolid,1—2,Sporting de Gijón,1980-1981
Round 24,15/02/1981,Zaragoza,3—1,Osasuna,1980-1981
Round 25,21/02/1981,Las Palmas,3—0,Zaragoza,1980-1981
Round 25,22/02/1981,Atlético de Madrid,1—0,Hércules,1980-1981
Round 25,22/02/1981,Betis,1—1,Barcelona,1980-1981
Round 25,22/02/1981,Español,1—0,Athletic Club,1980-1981
Round 25,22/02/1981,Sporting de Gijón,5—2,AD Almería,1980-1981
Round 25,22/02/1981,Murcia,0—0,Sevilla,1980-1981
Round 25,22/02/1981,Osasuna,1—2,Real Madrid,1980-1981
Round 25,22/02/1981,Real Sociedad,1—0,Salamanca,1980-1981
Round 25,22/02/1981,Valencia,2—2,Valladolid,1980-1981
Round 26,28/02/1981,Real Madrid,3—0,Las Palmas,1980-1981
Round 26,1/3/1981,AD Almería,1—0,Valencia,1980-1981
Round 26,1/3/1981,Athletic Club,1—1,Sporting de Gijón,1980-1981
Round 26,1/3/1981,Barcelona,6—0,Hércules,1980-1981
Round 26,1/3/1981,Murcia,0—2,Atlético de Madrid,1980-1981
Round 26,1/3/1981,Salamanca,2—0,Betis,1980-1981
Round 26,1/3/1981,Sevilla,2—0,Español,1980-1981
Round 26,1/3/1981,Valladolid,2—1,Osasuna,1980-1981
Round 26,1/3/1981,Zaragoza,0—1,Real Sociedad,1980-1981
Round 27,8/3/1981,Atlético de Madrid,1—0,Barcelona,1980-1981
Round 27,8/3/1981,Betis,2—0,Zaragoza,1980-1981
Round 27,8/3/1981,Español,2—1,Murcia,1980-1981
Round 27,8/3/1981,Sporting de Gijón,3—0,Sevilla,1980-1981
Round 27,8/3/1981,Hércules,3—2,Salamanca,1980-1981
Round 27,8/3/1981,Las Palmas,0—2,Valladolid,1980-1981
Round 27,8/3/1981,Osasuna,2—1,AD Almería,1980-1981
Round 27,8/3/1981,Real Sociedad,3—1,Real Madrid,1980-1981
Round 27,8/3/1981,Valencia,0—0,Athletic Club,1980-1981
Round 28,15/03/1981,AD Almería,0—1,Las Palmas,1980-1981
Round 28,15/03/1981,Athletic Club,1—1,Osasuna,1980-1981
Round 28,15/03/1981,Español,2—0,Atlético de Madrid,1980-1981
Round 28,15/03/1981,Murcia,2—1,Sporting de Gijón,1980-1981
Round 28,15/03/1981,Real Madrid,4—2,Betis,1980-1981
Round 28,15/03/1981,Salamanca,2—1,Barcelona,1980-1981
Round 28,15/03/1981,Sevilla,1—0,Valencia,1980-1981
Round 28,15/03/1981,Valladolid,0—0,Real Sociedad,1980-1981
Round 28,15/03/1981,Zaragoza,1—1,Hércules,1980-1981
Round 29,21/03/1981,Las Palmas,1—3,Athletic Club,1980-1981
Round 29,22/03/1981,Atlético de Madrid,1—1,Salamanca,1980-1981
Round 29,22/03/1981,Barcelona,0—0,Zaragoza,1980-1981
Round 29,22/03/1981,Betis,2—2,Valladolid,1980-1981
Round 29,22/03/1981,Sporting de Gijón,0—1,Español,1980-1981
Round 29,22/03/1981,Hércules,1—2,Real Madrid,1980-1981
Round 29,22/03/1981,Osasuna,2—1,Sevilla,1980-1981
Round 29,22/03/1981,Real Sociedad,3—1,AD Almería,1980-1981
Round 29,22/03/1981,Valencia,3—2,Murcia,1980-1981
Round 30,29/03/1981,AD Almería,0—2,Betis,1980-1981
Round 30,29/03/1981,Athletic Club,0—2,Real Sociedad,1980-1981
Round 30,29/03/1981,Español,1—2,Valencia,1980-1981
Round 30,29/03/1981,Sporting de Gijón,3—0,Atlético de Madrid,1980-1981
Round 30,29/03/1981,Murcia,1—0,Osasuna,1980-1981
Round 30,29/03/1981,Real Madrid,3—0,Barcelona,1980-1981
Round 30,29/03/1981,Sevilla,3—2,Las Palmas,1980-1981
Round 30,29/03/1981,Valladolid,2—1,Hércules,1980-1981
Round 30,29/03/1981,Zaragoza,2—0,Salamanca,1980-1981
Round 31,4/4/1981,Las Palmas,1—2,Murcia,1980-1981
Round 31,4/4/1981,Salamanca,1—3,Real Madrid,1980-1981
Round 31,5/4/1981,Atlético de Madrid,1—2,Zaragoza,1980-1981
Round 31,5/4/1981,Barcelona,2—1,Valladolid,1980-1981
Round 31,5/4/1981,Betis,2—0,Athletic Club,1980-1981
Round 31,5/4/1981,Hércules,1—0,AD Almería,1980-1981
Round 31,5/4/1981,Osasuna,1—0,Español,1980-1981
Round 31,5/4/1981,Real Sociedad,3—0,Sevilla,1980-1981
Round 31,5/4/1981,Valencia,3—1,Sporting de Gijón,1980-1981
Round 32,12/4/1981,AD Almería,2—5,Barcelona,1980-1981
Round 32,12/4/1981,Athletic Club,5—3,Hércules,1980-1981
Round 32,12/4/1981,Español,3—1,Las Palmas,1980-1981
Round 32,12/4/1981,Sporting de Gijón,5—1,Osasuna,1980-1981
Round 32,12/4/1981,Murcia,0—2,Real Sociedad,1980-1981
Round 32,12/4/1981,Real Madrid,2—0,Zaragoza,1980-1981
Round 32,12/4/1981,Sevilla,2—1,Betis,1980-1981
Round 32,12/4/1981,Valencia,1—1,Atlético de Madrid,1980-1981
Round 32,12/4/1981,Valladolid,3—0,Salamanca,1980-1981
Round 33,19/04/1981,Barcelona,0—1,Athletic Club,1980-1981
Round 33,19/04/1981,Betis,1—0,Murcia,1980-1981
Round 33,19/04/1981,Hércules,5—1,Sevilla,1980-1981
Round 33,19/04/1981,Las Palmas,3—1,Sporting de Gijón,1980-1981
Round 33,19/04/1981,Osasuna,2—0,Valencia,1980-1981
Round 33,19/04/1981,Real Sociedad,2—1,Español,1980-1981
Round 33,19/04/1981,Real Madrid,2—0,Atlético de Madrid,1980-1981
Round 33,19/04/1981,Salamanca,2—1,AD Almería,1980-1981
Round 33,19/04/1981,Zaragoza,1—1,Valladolid,1980-1981
Round 34,25/04/1981,Athletic Club,6—1,Salamanca,1980-1981
Round 34,26/04/1981,AD Almería,3—1,Zaragoza,1980-1981
Round 34,26/04/1981,Atlético de Madrid,0—0,Osasuna,1980-1981
Round 34,26/04/1981,Español,1—2,Betis,1980-1981
Round 34,26/04/1981,Sporting de Gijón,2—2,Real Sociedad,1980-1981
Round 34,26/04/1981,Murcia,2—2,Hércules,1980-1981
Round 34,26/04/1981,Sevilla,1—1,Barcelona,1980-1981
Round 34,26/04/1981,Valencia,3—1,Las Palmas,1980-1981
Round 34,26/04/1981,Valladolid,1—3,Real Madrid,1980-1981
Round 1,19/09/1981,Atlético de Madrid,2—0,Athletic Club,1981-1982
Round 1,20/09/1981,Barcelona,4—0,Cádiz,1981-1982
Round 1,20/09/1981,Castellón,1—1,Las Palmas,1981-1982
Round 1,20/09/1981,Hércules,2—0,Español,1981-1982
Round 1,20/09/1981,Racing de Santander,2—1,Betis,1981-1982
Round 1,20/09/1981,Real Sociedad,3—1,Real Madrid,1981-1982
Round 1,20/09/1981,Sevilla,2—3,Osasuna,1981-1982
Round 1,20/09/1981,Valladolid,2—1,Sporting de Gijón,1981-1982
Round 1,20/09/1981,Zaragoza,2—0,Valencia,1981-1982
Round 2,26/09/1981,Athletic Club,2—0,Sevilla,1981-1982
Round 2,26/09/1981,Las Palmas,2—1,Barcelona,1981-1982
Round 2,26/09/1981,Real Madrid,2—1,Atlético de Madrid,1981-1982
Round 2,26/09/1981,Valencia,3—0,Valladolid,1981-1982
Round 2,27/09/1981,Betis,0—1,Real Sociedad,1981-1982
Round 2,27/09/1981,Cádiz,1—0,Racing de Santander,1981-1982
Round 2,27/09/1981,Español,0—1,Zaragoza,1981-1982
Round 2,27/09/1981,Sporting de Gijón,1—0,Castellón,1981-1982
Round 2,27/09/1981,Osasuna,3—1,Hércules,1981-1982
Round 3,3/10/1981,Barcelona,1—0,Sporting de Gijón,1981-1982
Round 3,4/10/1981,Atlético de Madrid,1—0,Betis,1981-1982
Round 3,4/10/1981,Hércules,3—1,Athletic Club,1981-1982
Round 3,4/10/1981,Racing de Santander,3—1,Las Palmas,1981-1982
Round 3,4/10/1981,Real Sociedad,3—0,Cádiz,1981-1982
Round 3,4/10/1981,Sevilla,0—0,Real Madrid,1981-1982
Round 3,4/10/1981,Valencia,1—1,Español,1981-1982
Round 3,4/10/1981,Valladolid,2—0,Castellón,1981-1982
Round 3,4/10/1981,Zaragoza,1—1,Osasuna,1981-1982
Round 4,7/10/1981,Betis,2—0,Sevilla,1981-1982
Round 4,7/10/1981,Cádiz,1—0,Atlético de Madrid,1981-1982
Round 4,7/10/1981,Castellón,1—6,Barcelona,1981-1982
Round 4,7/10/1981,Español,3—1,Valladolid,1981-1982
Round 4,7/10/1981,Sporting de Gijón,2—0,Racing de Santander,1981-1982
Round 4,7/10/1981,Las Palmas,0—0,Real Sociedad,1981-1982
Round 4,7/10/1981,Osasuna,2—1,Valencia,1981-1982
Round 4,7/10/1981,Real Madrid,2—1,Hércules,1981-1982
Round 4,7/10/1981,Zaragoza,1—0,Athletic Club,1981-1982
Round 5,10/10/1981,Hércules,3—1,Betis,1981-1982
Round 5,11/10/1981,Atlético de Madrid,3—1,Las Palmas,1981-1982
Round 5,11/10/1981,Español,0—1,Osasuna,1981-1982
Round 5,11/10/1981,Racing de Santander,4—1,Castellón,1981-1982
Round 5,11/10/1981,Real Sociedad,3—0,Sporting de Gijón,1981-1982
Round 5,11/10/1981,Sevilla,3—1,Cádiz,1981-1982
Round 5,11/10/1981,Valencia,4—0,Athletic Club,1981-1982
Round 5,11/10/1981,Valladolid,2—3,Barcelona,1981-1982
Round 5,11/10/1981,Zaragoza,2—2,Real Madrid,1981-1982
Round 6,17/10/1981,Barcelona,5—1,Racing de Santander,1981-1982
Round 6,17/10/1981,Las Palmas,3—1,Sevilla,1981-1982
Round 6,17/10/1981,Real Madrid,3—0,Valencia,1981-1982
Round 6,18/10/1981,Athletic Club,3—1,Español,1981-1982
Round 6,18/10/1981,Betis,2—0,Zaragoza,1981-1982
Round 6,18/10/1981,Cádiz,3—2,Hércules,1981-1982
Round 6,18/10/1981,Castellón,1—3,Real Sociedad,1981-1982
Round 6,18/10/1981,Sporting de Gijón,3—2,Atlético de Madrid,1981-1982
Round 6,18/10/1981,Osasuna,1—1,Valladolid,1981-1982
Round 7,24/10/1981,Real Sociedad,1—1,Barcelona,1981-1982
Round 7,25/10/1981,Atlético de Madrid,3—0,Castellón,1981-1982
Round 7,25/10/1981,Español,1—0,Real Madrid,1981-1982
Round 7,25/10/1981,Hércules,3—0,Las Palmas,1981-1982
Round 7,25/10/1981,Osasuna,0—2,Athletic Club,1981-1982
Round 7,25/10/1981,Sevilla,0—0,Sporting de Gijón,1981-1982
Round 7,25/10/1981,Valencia,2—1,Betis,1981-1982
Round 7,25/10/1981,Valladolid,0—0,Racing de Santander,1981-1982
Round 7,25/10/1981,Zaragoza,2—1,Cádiz,1981-1982
Round 8,31/10/1981,Barcelona,2—0,Atlético de Madrid,1981-1982
Round 8,31/10/1981,Las Palmas,2—4,Zaragoza,1981-1982
Round 8,31/10/1981,Real Madrid,1—0,Osasuna,1981-1982
Round 8,1/11/1981,Athletic Club,4—0,Valladolid,1981-1982
Round 8,1/11/1981,Betis,2—0,Español,1981-1982
Round 8,1/11/1981,Cádiz,0—0,Valencia,1981-1982
Round 8,1/11/1981,Castellón,0—3,Sevilla,1981-1982
Round 8,1/11/1981,Sporting de Gijón,1—1,Hércules,1981-1982
Round 8,1/11/1981,Racing de Santander,2—3,Real Sociedad,1981-1982
Round 9,7/11/1981,Athletic Club,1—2,Real Madrid,1981-1982
Round 9,8/11/1981,Atlético de Madrid,0—0,Racing de Santander,1981-1982
Round 9,8/11/1981,Español,1—0,Cádiz,1981-1982
Round 9,8/11/1981,Hércules,2—2,Castellón,1981-1982
Round 9,8/11/1981,Osasuna,0—1,Betis,1981-1982
Round 9,8/11/1981,Sevilla,2—1,Barcelona,1981-1982
Round 9,8/11/1981,Valencia,3—2,Las Palmas,1981-1982
Round 9,8/11/1981,Valladolid,2—1,Real Sociedad,1981-1982
Round 9,8/11/1981,Zaragoza,1—1,Sporting de Gijón,1981-1982
Round 10,11/11/1981,Barcelona,5—0,Hércules,1981-1982
Round 10,11/11/1981,Betis,2—1,Athletic Club,1981-1982
Round 10,11/11/1981,Cádiz,1—0,Osasuna,1981-1982
Round 10,11/11/1981,Castellón,2—1,Zaragoza,1981-1982
Round 10,11/11/1981,Sporting de Gijón,1—0,Valencia,1981-1982
Round 10,11/11/1981,Las Palmas,2—0,Español,1981-1982
Round 10,11/11/1981,Racing de Santander,3—0,Sevilla,1981-1982
Round 10,11/11/1981,Real Sociedad,1—0,Atlético de Madrid,1981-1982
Round 10,11/11/1981,Real Madrid,3—1,Valladolid,1981-1982
Round 11,14/11/1981,Español,5—1,Sporting de Gijón,1981-1982
Round 11,15/11/1981,Athletic Club,3—0,Cádiz,1981-1982
Round 11,15/11/1981,Hércules,3—4,Racing de Santander,1981-1982
Round 11,15/11/1981,Osasuna,1—3,Las Palmas,1981-1982
Round 11,15/11/1981,Real Madrid,4—1,Betis,1981-1982
Round 11,15/11/1981,Sevilla,2—2,Real Sociedad,1981-1982
Round 11,15/11/1981,Valencia,1—0,Castellón,1981-1982
Round 11,15/11/1981,Valladolid,2—1,Atlético de Madrid,1981-1982
Round 11,15/11/1981,Zaragoza,2—2,Barcelona,1981-1982
Round 12,21/11/1981,Las Palmas,2—1,Athletic Club,1981-1982
Round 12,22/11/1981,Atlético de Madrid,1—2,Sevilla,1981-1982
Round 12,22/11/1981,Barcelona,5—1,Valencia,1981-1982
Round 12,22/11/1981,Betis,4—0,Valladolid,1981-1982
Round 12,22/11/1981,Cádiz,1—0,Real Madrid,1981-1982
Round 12,22/11/1981,Castellón,1—4,Español,1981-1982
Round 12,22/11/1981,Sporting de Gijón,2—0,Osasuna,1981-1982
Round 12,22/11/1981,Racing de Santander,0—1,Zaragoza,1981-1982
Round 12,22/11/1981,Real Sociedad,2—1,Hércules,1981-1982
Round 13,28/11/1981,Zaragoza,3—2,Real Sociedad,1981-1982
Round 13,29/11/1981,Athletic Club,2—1,Sporting de Gijón,1981-1982
Round 13,29/11/1981,Betis,2—0,Cádiz,1981-1982
Round 13,29/11/1981,Español,0—4,Barcelona,1981-1982
Round 13,29/11/1981,Hércules,0—1,Atlético de Madrid,1981-1982
Round 13,29/11/1981,Osasuna,4—1,Castellón,1981-1982
Round 13,29/11/1981,Real Madrid,2—1,Las Palmas,1981-1982
Round 13,29/11/1981,Valencia,3—0,Racing de Santander,1981-1982
Round 13,29/11/1981,Valladolid,2—1,Sevilla,1981-1982
Round 14,5/12/1981,Las Palmas,3—1,Betis,1981-1982
Round 14,6/12/1981,Atlético de Madrid,1—0,Zaragoza,1981-1982
Round 14,6/12/1981,Barcelona,2—0,Osasuna,1981-1982
Round 14,6/12/1981,Cádiz,0—0,Valladolid,1981-1982
Round 14,6/12/1981,Castellón,1—2,Athletic Club,1981-1982
Round 14,6/12/1981,Sporting de Gijón,0—1,Real Madrid,1981-1982
Round 14,6/12/1981,Racing de Santander,2—1,Español,1981-1982
Round 14,6/12/1981,Real Sociedad,4—1,Valencia,1981-1982
Round 14,6/12/1981,Sevilla,0—1,Hércules,1981-1982
Round 15,12/12/1981,Valencia,1—0,Atlético de Madrid,1981-1982
Round 15,13/12/1981,Athletic Club,1—1,Barcelona,1981-1982
Round 15,13/12/1981,Betis,2—0,Sporting de Gijón,1981-1982
Round 15,13/12/1981,Cádiz,0—2,Las Palmas,1981-1982
Round 15,13/12/1981,Español,2—1,Real Sociedad,1981-1982
Round 15,13/12/1981,Osasuna,2—1,Racing de Santander,1981-1982
Round 15,13/12/1981,Real Madrid,4—0,Castellón,1981-1982
Round 15,13/12/1981,Valladolid,1—0,Hércules,1981-1982
Round 15,13/12/1981,Zaragoza,1—4,Sevilla,1981-1982
Round 16,19/12/1981,Castellón,0—0,Betis,1981-1982
Round 16,20/12/1981,Atlético de Madrid,1—0,Español,1981-1982
Round 16,20/12/1981,Barcelona,3—1,Real Madrid,1981-1982
Round 16,20/12/1981,Sporting de Gijón,2—1,Cádiz,1981-1982
Round 16,20/12/1981,Hércules,0—1,Zaragoza,1981-1982
Round 16,20/12/1981,Racing de Santander,1—3,Athletic Club,1981-1982
Round 16,20/12/1981,Real Sociedad,1—0,Osasuna,1981-1982
Round 16,20/12/1981,Sevilla,2—0,Valencia,1981-1982
Round 16,20/12/1981,Valladolid,1—0,Las Palmas,1981-1982
Round 17,27/12/1981,Athletic Club,1—1,Real Sociedad,1981-1982
Round 17,27/12/1981,Betis,2—0,Barcelona,1981-1982
Round 17,27/12/1981,Cádiz,5—1,Castellón,1981-1982
Round 17,27/12/1981,Español,2—0,Sevilla,1981-1982
Round 17,27/12/1981,Las Palmas,1—1,Sporting de Gijón,1981-1982
Round 17,27/12/1981,Osasuna,0—1,Atlético de Madrid,1981-1982
Round 17,27/12/1981,Real Madrid,4—0,Racing de Santander,1981-1982
Round 17,27/12/1981,Valencia,2—0,Hércules,1981-1982
Round 17,27/12/1981,Zaragoza,2—1,Valladolid,1981-1982
Round 18,2/1/1982,Real Madrid,1—1,Real Sociedad,1981-1982
Round 18,3/1/1982,Athletic Club,2—0,Atlético de Madrid,1981-1982
Round 18,3/1/1982,Betis,1—1,Racing de Santander,1981-1982
Round 18,3/1/1982,Cádiz,1—0,Barcelona,1981-1982
Round 18,3/1/1982,Español,0—1,Hércules,1981-1982
Round 18,3/1/1982,Sporting de Gijón,2—2,Valladolid,1981-1982
Round 18,3/1/1982,Las Palmas,1—3,Castellón,1981-1982
Round 18,3/1/1982,Osasuna,1—0,Sevilla,1981-1982
Round 18,3/1/1982,Valencia,2—1,Zaragoza,1981-1982
Round 19,9/1/1982,Sevilla,1—0,Athletic Club,1981-1982
Round 19,10/1/1982,Atlético de Madrid,2—3,Real Madrid,1981-1982
Round 19,10/1/1982,Barcelona,4—0,Las Palmas,1981-1982
Round 19,10/1/1982,Castellón,0—2,Sporting de Gijón,1981-1982
Round 19,10/1/1982,Hércules,1—2,Osasuna,1981-1982
